id,avg_price,avg_cpm,zip_code,zip_code_id,lat,lon,size,price,rate_card_price,floor_price,cpm,impressions,supplier_id,supplier_face_id
477737,525.0,2.63,4028,17591,30.58496,-89.12753,"10' 6"" x 36'",525.0,630.0,,2.63,199688,39,5205
89642,400.0,1.55,4035,38376,35.02184,-106.09101,14' x 48',400.0,480.0,,1.55,257992,39,20581
169231,900.0,14.94,4055,24020,43.57589,-89.783635,"10' 6"" x 22' 9""",900.0,1080.0,,14.94,60252,39,61307
150030,1250.0,3.79,4039,19007,39.951746,-83.134224,"10' 6"" x 22' 9""",1250.0,1500.0,,3.79,330184,39,15511
169621,1100.0,4.73,4051,9443,37.563365,-77.47106,"10' 6"" x 22' 9""",1100.0,1320.0,,4.73,232420,39,409
407498,714.6,5.57,4029,29270,39.7871690000001,-93.552828,12' x 24',714.6023,890.0,,5.57,128220,138,MO-443
170165,600.0,9.87,4037,11163,35.901806,-80.587399,"10' 6"" x 22' 9""",600.0,720.0,,9.87,60760,39,623
210074,2507.5,4.36,4006,39163,33.96011,-118.31039,14' x 48',2209.0034,6000.0,,3.84,574688,28,014159AB
280651,689.0,1.88,4048,35401,27.86613,-97.3409,"10' 6"" x 22' 9""",689.0,827.0,,1.88,366344,39,1055
151064,635.0,5.93,4012,15031,28.02929,-81.76129,"10' 6"" x 22' 9""",635.0,762.0,,5.93,107132,39,22071
337037,3200.0,1.62,4047,16766,35.92033,-84.083153,14' x 48',3200.0,3840.0,,1.62,1971696,39,94015
151160,400.0,4.79,4042,6250,41.8433,-79.3486,5' x 11',400.0,480.0,,4.79,83488,39,40316
481315,550.0,4.26,4022,31895,31.61602,-91.5388,"10' 6"" x 22' 9""",550.0,660.0,,4.26,129088,39,3300
83532,500.0,4.36,4039,20128,40.001645,-83.799133,10' x 24',500.0,600.0,,4.36,114628,39,80553
430904,635.0,3.14,4013,13375,34.938231,-85.209838,10' x 40',635.0,635.0,,3.14,202320,39,95035
482288,600.0,1.14,4001,15802,34.02059,-86.018025,14' x 48',600.0,720.0,,1.14,526772,39,3395
171142,425.0,3.07,4051,9676,36.68469,-77.01851,"10' 6"" x 22' 9""",425.0,510.0,,3.07,138396,39,4853
151352,1000.0,3.88,4045,12380,33.94655,-80.90844,"10' 6"" x 22' 9""",1000.0,1200.0,,3.88,257592,39,1239
281573,800.0,7.32,4028,17510,31.31944,-89.36249,"10' 6"" x 22' 9""",800.0,960.0,,7.32,109356,39,5898
309798,200.0,1.36,4006,39160,33.975,-118.286,6' x 12',200.0,240.0,,1.36,146888,39,1473
309842,3100.0,4.44,4048,33606,33.23329,-96.6327,12' x 40',3100.0,3720.0,,4.44,697872,39,6116
309811,325.0,2.73,4006,39141,34.04361,-118.455966,6' x 12',325.0,390.0,,2.73,119124,39,1819
173623,3000.0,7.73,4019,22776,41.555786,-93.597255,14' x 48',3000.0,3600.0,,7.73,387996,39,6116
281856,715.0,4.92,4048,35830,35.16231,-101.88836,"10' 6"" x 22' 9""",715.0,858.0,,4.92,145324,39,7764
151907,600.0,2.58,4022,31524,29.94414,-91.77698,10' x 40',600.0,720.0,,2.58,232412,39,1003
408820,804.22,7.25,4029,29277,39.7716980000001,-93.064147,12' x 30',804.22437,1010.0,,7.25,110871,138,MO-370
282960,650.0,11.13,4048,35092,30.17764,-96.38522,"10' 6"" x 22' 9""",650.0,780.0,,11.13,58380,39,92140
89962,620.0,3.1,4039,20173,38.74343,-82.9926,"10' 6"" x 22' 9""",620.0,744.0,,3.1,200192,39,1573
